รหัสจังหวัด,จังหวัด,เขต,ผู้ชนะ,พรรค,คะแนน,คะแนนดี,ผู้มีสิทธิ,มาใช้สิทธิ
40,ขอนแก่น,10,นายพชรกร อรรณนพพร,ภูมิใจไทย,39396,83757,135110.0,89102
40,ขอนแก่น,11,นายองอาจ ฉัตรชัยพลรัตน์,ภูมิใจไทย,48810,76313,131498.0,82562
41,อุดรธานี,1,นายอานันท์ อมรินทร์,ประชาชน,30558,76456,127011.0,84507
41,อุดรธานี,2,นางหทัยรัตน์ เพชรพนมพร,เพื่อไทย,29377,82554,130457.0,89477
41,อุดรธานี,3,นายหรั่ง ธุระพล,ภูมิใจไทย,33013,75808,125833.0,79803
41,อุดรธานี,4,นายไตรภพ คำเพชร,เพื่อไทย,29757,70876,126481.0,74870
41,อุดรธานี,5,นางบัวเงิน รอดขันเมือง,ภูมิใจไทย,28475,69548,123472.0,73659
41,อุดรธานี,6,นายอดิศักดิ์ แก้วมุงคุณทรัพย์,ภูมิใจไทย,36722,77505,126378.0,80892
41,อุดรธานี,7,นายสุริยา วงศ์อารีย์,ประชาชน,28786,71025,128249.0,77512
41,อุดรธานี,8,นายสุภีรภัทร ภูมิภักดิ์,ภูมิใจไทย,38137,71066,122656.0,76246
41,อุดรธานี,9,นายวัชระพล ขาวขำ,เพื่อไทย,29522,73427,124798.0,80810
41,อุดรธานี,10,นางเทียบจุฑา ขาวขำ,เพื่อไทย,31589,72317,122907.0,79295
42,เลย,1,นายเลิศศักดิ์ พัฒนชัยกุล,เพื่อไทย,42730,85064,125704.0,93879
42,เลย,2,นายศรัณย์ ทิมสุวรรณ,เพื่อไทย,27956,72730,132976.0,83494
42,เลย,3,นายธนยศ ทิมสุวรรณ,ภูมิใจไทย,51525,83065,126135.0,91957
42,เลย,4,นายสมเจตน์ แสงเจริญรัตน์,เพื่อไทย,30145,74118,123919.0,85019
43,หนองคาย,1,นายกระแสร์ ตระกูลพรพงศ์,พลังประชารัฐ,30866,88967,139496.0,95511
43,หนองคาย,2,นายยุทธนา ศรีตะบุตร,พลังประชารัฐ,30322,81218,136455.0,85701
43,หนองคาย,3,นายศักดิ์ดา จันทรสุวรรณ,ภูมิใจไทย,36917,78176,137314.0,87064
44,มหาสารคาม,1,นายฤทธิรงค์ ภูมิสวัสดิ์,ภูมิใจไทย,32493,84916,129888.0,90569
44,มหาสารคาม,2,นายประวัติ ทองสมบูรณ์,ภูมิใจไทย,32203,78715,128380.0,82745
44,มหาสารคาม,3,นายลัทธชัย โชคชัยวัฒนากร,ภูมิใจไทย,39612,84786,130076.0,87676
44,มหาสารคาม,4,นายวิเชียร จงชูวณิชย์,ภูมิใจไทย,30843,80681,125931.0,84945
44,มหาสารคาม,5,นายจิรวัฒน์ ศิริพานิชย์,เพื่อไทย,36149,77618,132454.0,84701
44,มหาสารคาม,6,นางคมคาย อุดรพิมพ์,ภูมิใจไทย,38939,87058,128307.0,91663
45,ร้อยเอ็ด,1,นายอนุรักษ์ จุรีมาศ,ภูมิใจไทย,50238,89385,126135.0,94576
45,ร้อยเอ็ด,2,นายเอกรัฐ พลชื่อ,กล้าธรรม,43764,86974,136681.0,91762
45,ร้อยเอ็ด,3,นางรัชนี พลชื่อ,กล้าธรรม,35999,81733,132880.0,85667
45,ร้อยเอ็ด,4,นายศุภศิษย์ กอเจริญยศ,เพื่อไทย,22302,80404,129528.0,83975
45,ร้อยเอ็ด,5,นางสาวจิราพร สินธุไพร,เพื่อไทย,43787,72043,133199.0,79956
45,ร้อยเอ็ด,6,นายทองลี มีหินกอง,เพื่อไทย,33696,76554,130130.0,81281
45,ร้อยเอ็ด,7,นายชัชวาล แพทยาไทย,ไทยสร้างไทย,44414,81314,134383.0,84922
45,ร้อยเอ็ด,8,นางสาวชญาภา สินธุไพร,เพื่อไทย,26860,85433,131264.0,89205
46,กาฬสินธุ์,1,นายวิรัช พิมพะนิตย์,เพื่อไทย,35888,83744,131445.0,90137
46,กาฬสินธุ์,2,นายพลากร พิมพะนิตย์,เพื่อไทย,43696,76321,126190.0,82224
46,กาฬสินธุ์,3,นายจำลอง ภูนวนทา,กล้าธรรม,27385,78033,124253.0,82445
46,กาฬสินธุ์,4,นายณัฐวัชต์ พิมพะนิตย์,เพื่อไทย,35782,85649,136385.0,90104
46,กาฬสินธุ์,5,นางสาวบุญญาภา นาชัยเวียง ปุณณนิฏฐา,ภูมิใจไทย,48271,89758,137299.0,93903
46,กาฬสินธุ์,6,นายชนะวุธ อุทโท,เพื่อไทย,59665,91466,135642.0,95812
47,สกลนคร,1,นายสิรภพ สมผล,กล้าธรรม,27337,90090,133562.0,96161
47,Sakon Nakhon,2,นายชาตรี หล้าพรหม,กล้าธรรม,25737,83880,131918.0,88996
47,สกลนคร,3,นางสาวจิรัชยา สัพโส,เพื่อไทย,48088,78470,133998.0,86140
47,สกลนคร,4,นายพัฒนา สัพโส,เพื่อไทย,29887,75903,132760.0,83327
47,สกลนคร,5,นางสาววงศ์อะเกื้อ บุญศล,กล้าธรรม,27906,79654,129748.0,83538
47,สกลนคร,6,นายบรม เอ่งฉ้วน,ภูมิใจไทย,34892,75062,130058.0,80511
47,สกลนคร,7,นายอิสรพงษ์ อุประ,เพื่อไทย,23571,71830,131938.0,76157
48,นครพนม,1,นางสาวศุภพานี โพธิ์สุ,ภูมิใจไทย,61803,94537,143576.0,98499
48,นครพนม,2,นางมนพร เจริญศรี,เพื่อไทย,51176,85967,143097.0,94215
48,นครพนม,3,นายอลงกต มณีกาศ,ภูมิใจไทย,37134,88863,142454.0,94066
48,นครพนม,4,นายชาญชัย คำจำปา,เพื่อไทย,41312,92181,144802.0,96215
49,มุกดาหาร,1,นายวิริยะ ทองผา,ภูมิใจไทย,31342,98985,141889.0,104804
49,มุกดาหาร,2,นายเลขาดำไตรสรณคมน์ หนองเรือง,กล้าธรรม,42393,94225,138474.0,100884
50,เชียงใหม่,1,นางสาวเพชรรัตน์ ใหม่ชมภู,ประชาชน,47840,93695,137824.0,103006
